company,revenue,sector,industry,employees,ceo_comp,employee_comp,cpr
Walmart Inc,559151,Consumer Staples,Retail  - General,2200000,23618233,21952,1076
Amazon.com Inc,386064,Consumer Discretionary,Retail  - Online,1298000,1681840,28848,58
Berkshire Hathaway Inc,286256,Financials,Diversified,360174,374773,65740,5.7
Apple Inc,274515,Information Technology,Computers - Peripherals,147000,11555466,57596,201
CVS Health Corp,268706,Health Care,Healthcare Support Services,300000,36466470,46140,790
UnitedHealth Group Inc,257141,Health Care,Healthcare Support Services,325000,18907522,54322,348
McKesson Corp,231051,Health Care,Healthcare Support Services,80000,17400207,38026,458
Alphabet Inc,182527,Information Technology,Software  - Entertainment,135301,280621552,258708,1085
Exxon Mobil Corp,178574,Energy,Oil - Gas  - Integrated,72000,23529292,173712,135
AT&T Inc,171760,Communication Services,Telecom. Services,230760,32032925,98630,325
Costco Wholesale Corp,166761,Consumer Staples,Retail  - General,156000,8016200,47312,169
Cigna Corp,160401,Health Care,Healthcare Support Services,73700,19303032,62946,306.7
Cardinal Health Inc,152922,Health Care,Healthcare Support Services,48000,15584454,57261,272
Microsoft Corp,143015,Information Technology,Software  - System  -  Application,163000,42910215,172512,249
Walgreens Boots Alliance Inc,139537,Consumer Staples,Retail  - Special Lines,331000,19156202,34074,562
Home Depot Inc,132110,Consumer Discretionary,Not found,500000,11366662,23389,486
JPMorgan Chase & Co,129503,Financials,Bank  - Money Center,255351,31619266,80431,393
Verizon Communications Inc,128292,Communication Services,Telecom. Services,132200,18111823,172971,105
Ford Motor Co,127144,Consumer Discretionary,Not found,186000,17355505,110706,157
General Motors Co,122485,Consumer Discretionary,Not found,155000,21630867,106715,203
Kroger Co ,122286,Consumer Staples,Not found,435000,12037872,24912,483
Anthem Inc,121867,Health Care,Healthcare Support Services,83400,15473139,62686,247
Centene Corp,111115,Materials,Healthcare Support Services,71300,26448425,68987,383
Comcast Corp,103564,Communication Services,Cable TV,168000,36384957,78869,461
Chevron Corp,94471,Energy,Oil - Gas  - Integrated,48200,33070662,140063,236
Dell Technologies Inc,94224,Information Technology,Computers - Peripherals,165000,3623801,88459,41
Bank of America Corp,93753,Financials,Bank  - Money Center,212505,26049804,94256,276
Lowe's Cos Inc,89597,Consumer Discretionary,Not found,300000,14302791,22921,650
Citigroup Inc,88839,Financials,Bank  - Money Center,210000,25521414,52988,482
Facebook Inc,85965,Communication Services,Software  - Entertainment,58604,23415973,247883,94
United Parcel Service Inc,84628,Industrials,Transportation,543000,18040841,74395,243
Johnson & Johnson,82584,Health Care,Drugs  - Pharmaceutical,134500,25380258,76000,334
Wells Fargo & Co,80303,Financials,Not found,268531,36288490,65931,550
General Electric Co,79619,Industrials,Not found,174000,24553788,50471,486
Target Corp,78112,Consumer Discretionary,Retail  - General,368000,17204069,22439,767
Intel Corp,77867,Information Technology,Semiconductor,110600,66935100,96300,695
Humana Inc,77155,Health Care,Healthcare Support Services,48700,16726455,73669,227
International Business Machines Corp,73621,Information Technology,Computer Services,352600,20160865,56896,354
Procter & Gamble Co,70950,Consumer Staples,Not found,99000,20498812,66326,309
PepsiCo Inc,70372,Consumer Staples,Beverage  - Soft,291000,16870817,45896,368
Marathon Petroleum Corp,69779,Energy,Oilfield Svcs - Equip.,60910,24129164,27507,877
FedEx Corp,69217,Industrials,Transportation,183000,15973884,52718,303
T-Mobile US Inc,68397,Communication Services,Telecom  - Wireless,75000,27762231,62195,446
MetLife Inc,67842,Financials,Insurance  - Life,46500,14709539,77359,190
Lockheed Martin Corp,65398,Industrials,Aerospace - Defense,114000,30900000,154883,200
Walt Disney Co ,65388,Consumer Staples,Not found,203000,47525560,52184,911
Valero Energy Corp,64912,Energy,Oilfield Svcs - Equip.,9964,28175952,272417,103
Archer-Daniels-Midland Co,64355,Consumer Staples,Not found,39088,18174409,63981,285
Phillips 66,64129,Energy,Oil - Gas Distribution,14300,31927081,188738,169
Boeing Co ,58158,Industrials,Not found,141000,14250195,158869,90
Prudential Financial Inc,57033,Financials,Insurance  - Life,41671,15144335,111499,136
HP Inc,56639,Information Technology,Computers - Peripherals,53000,19317972,75013,258
United Technologies Corp,56587,Information Technology,Not found,181000,21538847,76417,282
Goldman Sachs Group Inc,53498,Financials,Not found,40500,24657737,138854,178
Sysco Corp,52893.31,Consumer Staples,Food Wholesalers,57000,10742679,70801,152
Morgan Stanley,52047,Financials,Brokerage  -  Investment Banking,68000,31642395,127414,248
HCA Healthcare Inc,51533,Health Care,Hospitals - Healthcare Facilities,210000,26788251,56012,478
Cisco Systems Inc,49301,Information Technology,Telecom. Equipment,77500,25829833,142593,181
Charter Communications Inc,48097,Communication Services,Cable TV,96100,8743601,57625,151.7
Merck & Co Inc,47994,Health Care,Not found,74000,27648475,95621,289
Best Buy Co Inc,47262,Consumer Discretionary,Not found,125000,17382486,28500,610
AbbVie Inc,45804,Health Care,Drugs  - Biotechnology,47000,21668015,155885,139
Allstate Corp ,44791,Financials,Not found,41860,19615696,61860,317
Accenture PLC,44327.039,Information Technology,Not found,506000,15031875,50512,298
American International Group Inc,43736,Financials,Insurance  - General,45000,19369637,67403,288
Tyson Foods Inc,43185,Consumer Staples,Food Processing,139000,10398160,36681,283
Progressive Corp,42638.1,Financials,Not found,41571,14041272,66285,212
Bristol-Myers Squibb Co,42518,Health Care,Not found,30250,18767253,123365,152
Pfizer Inc,41908,Health Care,Drugs  - Pharmaceutical,88000,17928963,98972,181
Caterpillar Inc,41748,Industrials,Construction Supplies,97300,34519129,65132,530
Bunge Ltd,41404,Consumer Staples,Not found,23000,16734730,39133,428
Oracle Corp,39068,Information Technology,Software  - System  -  Application,135000,2481646,83813,30
Dow Inc,38542,Materials,Chemical  - Basic,35700,15878639,109556,145
American Express Co,38185,Financials,Not found,63700,23796002,64803,367
General Dynamics Corp,37925,Industrials,Aerospace - Defense,100700,18313204,116510,157
NIKE Inc,37403,Consumer Discretionary,Shoe,75400,13968022,25386,550
Northrop Grumman Corp,36799,Industrials,Aerospace - Defense,97000,20307994,114667,177
Chubb Ltd,35994,Financials,Not found,33000,20475070,66372,308.5
Deere & Co,35540,Industrials,Not found,69634,21697885,80267,270
Abbott Laboratories,34608,Health Care,Healthcare Products,109000,27802817,84434,329
Sprint Corp,33600,Industrials,Not found,28500,6395042,70941,90
Exelon Corp,33039,Utilities,Power,32713,15400000,126000,122
Coca-Cola Co ,33014,Utilities,Not found,80300,18701149,11285,1657
Honeywell International Inc,32637,Industrials,Diversified,113000,20525104,69513,295
Thermo Fisher Scientific Inc,32218,Health Care,Heathcare Information and Technology,80000,19023145,80915,235
3M,32184,Industrials,Diversified,94987,18321566,57494,319
TJX Cos Inc ,32136.962,Consumer Discretionary,Not found,286000,18822770,11791,1596
Travelers Cos Inc ,31981,Industrials,Not found,30600,16791247,111170,151
Capital One Financial Corp,31643,Financials,Financial Svcs.  - Non - bank  -  Insurance,52000,7705792,68780,112
Tesla Inc,31536,Consumer Discretionary,Auto  -  Truck,70757,23760,58455,0.41
Raytheon Co,29176,Financials,Not found,70000,23721407,141123,168
Medtronic PLC,28913,Health Care,Not found,90000,17796325,74206,240
Philip Morris International Inc,28694,Consumer Staples,Tobacco,71000,22125060,53756,396
Arrow Electronics Inc,28673.363,Information Technology,Computer Services,19600,11671842,60819,192
Dollar General Corp,27753.973,Consumer Discretionary,Retail  - General,143000,10602517,13773,770
LyondellBasell Industries NV,27753,Materials,Not found,19200,15943313,86466,184
Jabil Inc,27266.438,Financials,Electronics  - General,240000,11412435,7109,1605
Linde PLC,27243,Materials,Not found,80820,22475878,43216,520
Hewlett Packard Enterprise Co,26982,Information Technology,Not found,59400,13714497,67196,204
Mondelez International Inc,26581,Consumer Staples,Food Processing,79000,18115449,32280,561
Kraft Heinz Co ,26185,Consumer Staples,Not found,38000,44158287,42689,1034
Amgen Inc,25424,Health Care,Drugs  - Biotechnology,24300,19612793,130904,150
CBS Corp,25285,Real Estate,Not found,23990,36572367,104791,349
US Bancorp,25241,Industrials,Not found,70000,18801847,69775,269
Netflix Inc,24996.056,Communication Services,Entertainment,9400,38577129,202931,190
Gilead Sciences Inc,24689,Health Care,Drugs  - Biotechnology,13600,29361393,173264,169
Eli Lilly & Co,24539.8,Communication Services,Not found,35000,21283242,96290,221
BB&T Corp,24427,Health Care,Not found,54982,11509407,101421,113
Broadcom Inc,23888,Information Technology,Semiconductor,21000,2366888,354119,7
Duke Energy Corp,23868,Utilities,Power,28793,15029386,123608,122
CBRE Group Inc,23826.195,Real Estate,Real Estate  - Operations  -  Services,100000,13435428,61122,220
Dollar Tree Inc,23610.8,Consumer Discretionary,Retail  - General,56900,9398842,11250,835
Schlumberger Ltd,23601,Energy,Not found,86000,22247160,71021,313
QUALCOMM Inc,23531,Information Technology,Semiconductor,41000,23065052,90259,256
Starbucks Corp,23518,Consumer Discretionary,Restaurant - Dining,349000,19241950,11489,1675
US Foods Holding Corp,22885,Industrials,Food Wholesalers,26000,7711847,82441,94
Lennar Corp,22488.854,Consumer Discretionary,Homebuilding,9495,18279581,102830,178
Johnson Controls International plc,22317,Industrials,Not found,97000,15476638,41987,369
Danaher Corp,22284,Health Care,Healthcare Products,69000,18193200,74672,244
Aflac Inc,22147,Financials,Insurance  - Life,6239,14108852,56371,250
Visa Inc,21846,Information Technology,Information Services,19500,24265771,142494,170
PayPal Holdings Inc,21454,Information Technology,Information Services,26500,25825473,70405,367
Micron Technology Inc,21435,Information Technology,Semiconductor,40000,16944751,60796,279
salesforce.com Inc,21252,Information Technology,Software  - System  -  Application,56606,28391846,151955,187
Altria Group Inc,20841,Consumer Staples,Tobacco,8294,15439987,142246,109
CenturyLink Inc,20712,Utilities,Not found,39000,17235108,71279,243
Baker Hughes a GE Co,20705,Materials,Not found,55000,14922621,79242,188
International Paper Co,20580,Materials,Not found,49300,15924647,88810,179
Hartford Financial Services Group Inc ,20523,Consumer Discretionary,Not found,18500,14560748,96867,150
Penske Automotive Group Inc,20443.9,Information Technology,Retail  - Automotive,23000,6893752,44527,155
WellCare Health Plans Inc,20414.1,Utilities,Not found,12000,12697176,81647,155.5
DuPont de Nemours Inc,20397,Materials,Chemical  - Specialty,34000,11660634,86294,135
AutoNation Inc,20390,Information Technology,Retail  - Automotive,21600,8510005,49568,172
Southern Co ,20375,Industrials,Not found,27700,27865185,167872,166
CarMax Inc,20319.987,Consumer Discretionary,Retail  - Automotive,27050,8951547,38554,232
DR Horton Inc,20311.1,Materials,Not found,9716,14377638,86531,166
Nucor Corp,20139.658,Materials,Steel,26400,19099582,87573,218
Kohl's Corp,19974,Information Technology,Retail  - General,37000,12340445,11069.63,1115
Cummins Inc,19811,Industrials,Construction Supplies,57825,25116751,73480,341.8
DXC Technology Co,19577,Information Technology,Not found,138000,17256539,41602,415
Union Pacific Corp,19533,Industrials,Transportation  - Railroads,41967,15018400,79446,189
Whirlpool Corp,19456,Consumer Discretionary,Furn - Home Furnishings,78000,14011663,20765,675
Molina Healthcare Inc,19423,Consumer Discretionary,Healthcare Support Services,10500,18025074,62227,290
McDonald's Corp,19207.8,Consumer Discretionary,Restaurant - Dining,200000,18012549,9291,1939
Kimberly-Clark Corp,19140,Consumer Staples,Household Products,46000,12028120,47328,254
AmerisourceBergen Corp,18989.3926,Health Care,Healthcare Support Services,22000,11323960,54472,208
ConocoPhillips,18784,Energy,Oil - Gas  - Production and Exploration,9700,30381543,186334,163
PACCAR Inc,18728.5,Industrials,Construction Supplies,26000,7430608,79282,94
Mylan NV,18526.417,Financials,Not found,35000,18526417,43367,427
PG&E Corp,18469,Health Care,Power,24000,19372233,206693,94
CDW Corp-DE,18467.5,Information Technology,Not found,10000,6191797,93452,66
Sherwin-Williams Co ,18361.7,Materials,Not found,61031,14854731,42590,349
PNC Financial Services Group Inc ,18262,Financials,Not found,49549,16555752,76131,217
Harris Corp,18194,Consumer Discretionary,Not found,50000,15745630,58426,269
Macy's Inc,18097,Financials,Retail  - General,123000,12733691,21885,582
ManpowerGroup Inc,18001,Financials,Business  -  Consumer Services,25000,12545932,5625,2230
NextEra Energy Inc,17997,Utilities,Power,13900,21877597,129735,168
Eaton Corp PLC,17858,Materials,Not found,92000,19980672,57712,346
Occidental Petroleum Corp,17809,Energy,Oil - Gas  - Integrated,14400,16017683,185259,86
Avnet Inc,17634.333,Materials,Computer Services,14600,8438078,52638,160
General Mills Inc,17626.6,Consumer Staples,Food Processing,35000,9855417,57177,172
Westrock Co,17578.8,Materials,Not found,49300,11659257,58183,200
Lincoln National Corp,17439,Financials,Insurance  - Life,10966,15412217,79460,194
American Airlines Group Inc,17337,Industrials,Air Transport,102700,11571714,61143,189
Marsh & McLennan Cos Inc,17224,Financials,Not found,76000,20331697,67826,300
Applied Materials Inc,17202,Industrials,Semiconductor Equip,24000,14072395,104500,135
Becton Dickinson and Co,17117,Health Care,Not found,72000,16014633,42219,379
Delta Air Lines Inc,17095,Industrials,Air Transport,74000,17325379,118198,147
Lear Corp,17045.5,Consumer Discretionary,Auto Parts,174600,13718257,10172,1349
Bank of New York Mellon Corp ,16940,Financials,Not found,48500,13437888,63202,213
Emerson Electric Co,16785,Communication Services,Electrical Equipment,83500,20310575,47415,428
Western Digital Corp,16736,Information Technology,Computers - Peripherals,63800,12866469,10063,1279
NVIDIA Corp,16675,Materials,Semiconductor,13532,13642838,155035,88
Cognizant Technology Solutions Corp,16652,Information Technology,Computer Services,289500,16503792,32084,514
Jones Lang LaSalle Inc,16589.9,Industrials,Real Estate  - Operations  -  Services,90800,9298663,106000,87
Genuine Parts Co,16537.433,Consumer Discretionary,Not found,50000,8169948,39321,208
Synchrony Financial,16472,Financials,Financial Svcs.  - Non - bank  -  Insurance,16500,12181183,45407,268
Colgate-Palmolive Co,16471,Consumer Staples,Not found,34200,11149290,24055,463
Gap Inc ,16383,Consumer Discretionary,Not found,129000,20793939,5831,3566
XPO Logistics Inc,16252,Information Technology,Transportation,102000,7858337,33162,237
CH Robinson Worldwide Inc,16207.106,Materials,Not found,14888,5065928,59086,86
BlackRock Inc,16205,Financials,Investments  -  Asset Management,16500,24308254,133644,182
Allergan PLC,16088.9,Industrials,Not found,17400,9770528,92255,106
Ross Stores Inc,16039.073,Consumer Discretionary,Retail  - Special Lines,92500,12248994,10027,1222
Fluor Corp,15668.477,Industrials,Engineering - Construction,50182,6682051,67856,98
Nordstrom Inc,15524,Utilities,Retail  - General,75000,4451746,34454,129
DISH Network Corp,15493.435,Communication Services,Cable TV,13500,1007020,54685,18
United Continental Holdings Inc,15355,Industrials,Not found,74400,12643005,74750,169
Mastercard Inc,15301,Information Technology,Information Services,21000,23249977,138142,168
Celgene Corp,15281,Materials,Not found,8852,16223923,263237,62
Waste Management Inc,15218,Industrials,Environmental  -  Waste Services,48250,11298101,76048,149
PBF Energy Inc,15115.9,Information Technology,Oilfield Svcs - Equip.,3442,10149441,160703,63
American Electric Power Co Inc,14918.5,Utilities,Not found,16787,14492436,132611,109
Fiserv Inc,14852,Information Technology,Information Services,44000,27633556,65254,423
Athene Holding Ltd,14764,Communication Services,Not found,1350,4254581,85259,50
Principal Financial Group Inc,14741.7,Financials,Insurance  - Life,17400,14748051,116561,127
Reinsurance Group of America Inc,14596,Financials,Reinsurance,3188,8116274,113479,72
Automatic Data Processing Inc,14589.8,Information Technology,Information Services,58000,19000187,63225,301
Stanley Black & Decker Inc,14534.6,Industrials,Machinery,53100,18707111,43316,432
Texas Instruments Inc,14461,Information Technology,Semiconductor,30000,18655972,82034,227
Halliburton Co,14445,Energy,Not found,40000,12770467,87289,146
