"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"riy","AFL","UN","Aflac Inc","riy","spx","14","21758","38726790207.6","11390","17535398","52756","332","2019-03-22","2018","Tue Dec 24 2019 13:32:32 GMT-0500 (Eastern Standard Time)"
"spx","ACC","UN","American Campus Communities Inc","riy","","14","880.81","6327488829.6","3098","4672998","27080","173","2019-03-20","2018",""
"","AEE","UN","Ameren Corp","riy","spx","19","6291","18636756744","8838","8454460","119718","71","2019-03-19","2018",""
"","ABC","UN","AmerisourceBergen Corp","riy","spx","15","179589.121","17589873128.120003","21000","11533906","56892","203","2019-01-18","2018",""
"","AAP","UN","Advance Auto Parts Inc","riy","spx","11","9580.554","11120981215.72","40000","8856135","18460","480","2019-04-26","2018",""
"","AIG","UN","American International Group Inc","riy","spx","14","47389","44315334809.63999","49600","20854669","66440","314","2019-04-02","2018",""
"","ALNY","UW","Alnylam Pharmaceuticals Inc","riy","","15","74.908","13121227971.36","1065","5089269","243720","21","2019-03-11","2018",""
"","AJG","UN","Arthur J Gallagher & Co","riy","spx","14","6934","17637614880","30400","8062954","64495","125","2019-03-22","2018",""
"","ACGL","UW","Arch Capital Group Ltd","riy","","14","5450.568","17026995885.619999","3642","12467406","126070","99","2019-03-28","2018",""
"","AGIO","UW","Agios Pharmaceuticals Inc","riy","","15","94.387","3433983543.9299994","382","8199324","345181","24","2019-04-18","2018",""
"","ADSK","UW","Autodesk Inc","riy","spx","18","2569.8","40466269397.82001","9600","12345706","115892","106.5","2018-05-01","2018",""
"","AGCO","UN","AGCO Corp","riy","","16","9352","5846939640.22","21200","20648619","48387","427","2019-03-25","2018",""
"","AES","UN","AES Corp/VA","riy","spx","19","10736","13118518882.560001","null","9759811","67771","144","2019-03-06","2018",""
"","ALL","UN","Allstate Corp/The","riy","spx","14","39815","36014201415.72","45140","18687246","72363","258","2019-04-08","2018",""
"","ADP","UW","Automatic Data Processing Inc","riy","spx","18","14175.2","73519732301.98999","58000","12489040","59284","211","2018-09-20","2018",""
"","ALLE","UN","Allegion PLC","riy","spx","16","2731.7","11509573667.850002","11000","7586780","45460","167","2019-04-18","2018",""
"","AAPL","UW","Apple Inc","riy","spx","18","260174","1263086941550","137000","15682219","55426","283","2019-01-08","2018",""
"","ADT","UN","ADT Inc","riy","","16","4581.673","5777019211.319999","19000","null","null","null","2019-04-29","2018",""
"","ALSN","UN","Allison Transmission Holdings Inc","riy","","16","2713","5789880328.88","2900","16946722","99977","170","2019-03-29","2018",""
"","AGNC","UW","AGNC Investment Corp","riy","","14","1402","9666203820.11","56","14645850","210163","69.7","2019-03-07","2018",""
"","ACN","UN","Accenture PLC","riy","spx","18","43215.013","134584629957.26001","492000","22299174","40206","555","2018-12-07","2018",""
"","ALGN","UW","Align Technology Inc","riy","spx","15","1966.492","21901332898.619995","11660","41758338","13180","3168","2019-04-05","2018",""
"","AFG","UN","American Financial Group Inc/OH","riy","","14","7150","9836421968.52","6700","10209385","65880","155","2019-04-05","2018",""
"","AL","UN","Air Lease Corp","riy","","14","1679.702","5450382317.639999","97","7672190","189642","41","2019-03-22","2018",""
"","ADNT","UN","Adient PLC","riy","","11","16526","1973524651.1200001","83000","14738869","18861","782","2019-01-25","2018",""
"","ACA","UN","Arcosa Inc","riy","","16","1460.4","2189655373.5","5889","null","null","null","2019-03-26","2018",""
"","AIV","UN","Apartment Investment & Management Co","riy","spx","14","972.41","7557386661.36","1050","6773403","68933","98","2019-03-01","2018",""
"","ALLY","UN","Ally Financial Inc","riy","","14","10466","11664317456.55","8200","9607777","109452","88","2019-03-22","2018",""
"","AGR","UN","Avangrid Inc","riy","","19","6478","15648026974.08","6449","5709436","110413","52","2019-04-29","2018",""
"","AAL","UW","American Airlines Group Inc","riy","spx","11","44541","12782531593.78","128900","11999517","61527","195","2019-04-29","2018",""
"","A","UN","Agilent Technologies Inc","riy","spx","15","5163","26458645299.5","16300","11708230","68579","170","2019-02-07","2018",""
"","AGN","UN","Allergan PLC","riy","spx","15","15787.4","62838847657.119995","16900","6624473","89976","74","2019-03-22","2018",""
"","ABT","UN","Abbott Laboratories","riy","spx","15","30578","154350813932.40002","103000","24265658","80569","301","2019-03-15","2018",""
"","ADI","UW","Analog Devices Inc","riy","spx","18","5991.065","44093159616.68","16400","11007691","53821","205","2019-01-25","2018",""
"","ABMD","UW","ABIOMED Inc","riy","spx","15","769.432","7780225108.4","1371","10304726","122674","84","2018-06-22","2018",""
"","ADS","UN","Alliance Data Systems Corp","riy","spx","14","7791.2","5111778081.96","20000","9978474","62680","159","2019-04-18","2018",""
"","AGO","UN","Assured Guaranty Ltd","riy","","14","1002","4690374093.240001","312","12771902","250144","51.1","2019-03-27","2018",""
"","AIZ","UN","Assurant Inc","riy","spx","14","8057.6","7823841402.96","14750","13616946","41399","328.9","2019-03-25","2018",""
