rank,name,revenues,profits
1,Walmart,"$485,873 ",13643
2,Berkshire Hathaway,"$223,604 ",24074
3,Apple,"$215,639 ",45687
4,Exxon Mobil,"$205,004 ",7840
5,McKesson,"$192,487 ",2258
6,UnitedHealth Group,"$184,840 ",7017
7,CVS Health,"$177,526 ",5317
8,General Motors,"$166,380 ",9427
9,AT&T,"$163,786 ",12976
10,Ford Motor,"$151,800 ",4596
11,AmerisourceBergen,"$146,850 ",1427.9
12,Amazon.com,"$135,987 ",2371
13,General Electric,"$126,661 ",8831
14,Verizon,"$125,980 ",13127
15,Cardinal Health,"$121,546 ",1427
16,Costco,"$118,719 ",2350
17,Walgreens Boots Alliance,"$117,351 ",4173
18,Kroger,"$115,337 ",1975
19,Chevron,"$107,567 ",-497
20,Fannie Mae,"$107,162 ",12313
21,J.P. Morgan Chase,"$105,486 ",24733
22,Express Scripts Holding,"$100,288 ",3404.4
23,Home Depot,"$94,595 ",7957
24,Boeing,"$94,571 ",4895
25,Wells Fargo,"$94,176 ",21938
26,Bank of America Corp.,"$93,662 ",17906
27,Alphabet,"$90,272 ",19478
28,Microsoft,"$85,320 ",16798
29,Anthem,"$84,863 ",2469.8
30,Citigroup,"$82,386 ",14912
31,Comcast,"$80,403 ",8695
32,IBM,"$79,919 ",11872
33,State Farm Insurance Cos.,"$76,132 ",350.3
34,Phillips 66,"$72,396 ",1555
35,Johnson & Johnson,"$71,890 ",16540
36,Procter & Gamble,"$71,726 ",10508
37,Valero Energy,"$70,166 ",2289
38,Target,"$69,495 ",2737
39,Freddie Mac,"$65,665 ",7815
40,Lowe,"$65,017 ",3093
41,Dell Technologies,"$64,806 ",-1672
42,MetLife,"$63,476 ",800
43,Aetna,"$63,155 ",2271
44,PepsiCo,"$62,799 ",6329
45,Archer Daniels Midland,"$62,346 ",1279
46,UPS,"$60,906 ",3431
47,Intel,"$59,387 ",10316
48,Prudential Financial,"$58,779 ",4368
49,Albertsons Cos.,"$58,734 ",-502.2
50,United Technologies,"$57,244 ",5055
51,Marathon Petroleum,"$55,858 ",1174
52,Disney,"$55,632 ",9391
53,Humana,"$54,379 ",614
54,Pfizer,"$52,824 ",7215
55,AIG,"$52,367 ",-849
56,Lockheed Martin,"$50,658 ",5302
57,Sysco,"$50,367 ",949.6
58,FedEx,"$50,365 ",1820
59,Hewlett Packard Enterprise,"$50,123 ",3161
60,Cisco Systems,"$49,247 ",10739
61,HP,"$48,238 ",2496
62,Dow Chemical,"$48,158 ",4318
63,HCA Holdings,"$44,747 ",2890
64,Coca-Cola,"$41,863 ",6527
65,New York Life Insurance,"$40,787 ",1088.1
66,Centene,"$40,721 ",562
67,American Airlines Group,"$40,180 ",2676
68,Nationwide,"$40,074 ",334.3
69,Merck,"$39,807 ",3920
70,Cigna,"$39,668 ",1867
71,Delta Air Lines,"$39,639 ",4373
72,Best Buy,"$39,403 ",1228
73,Honeywell International,"$39,302 ",4809
74,Caterpillar,"$38,537 ",-67
75,Liberty Mutual Insurance Group,"$38,308 ",1006
76,Morgan Stanley,"$37,949 ",5979
