"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"riy","AFL","UN","Aflac Inc","riy","spx","14","22147","34394924795.850006","6239","null","null","null","null","-9999","Fri Mar 05 2021 21:22:22 GMT-0500 (Eastern Standard Time)"
"spx","ACC","UN","American Campus Communities Inc","riy","","15","870.584","5760281918.25","2988","null","null","null","null","-9999",""
"","AEE","UN","Ameren Corp","riy","spx","20","5794","18010907700.980003","9323","null","null","null","null","-9999",""
"","ABC","UN","AmerisourceBergen Corp","riy","spx","16","189893.926","21459345704.5","22000","14307639","59388","241","2021-01-28","2020",""
"","AAP","UN","Advance Auto Parts Inc","riy","spx","11","10106.321","11238093274.2","40000","null","null","null","null","-9999",""
"","AIG","UN","American International Group Inc","riy","spx","14","43736","40619217722.93","45000","null","null","null","null","-9999",""
"","ALNY","UW","Alnylam Pharmaceuticals Inc","riy","","16","492.853","16776919504.409998","1453","null","null","null","null","-9999",""
"","AJG","UN","Arthur J Gallagher & Co","riy","spx","14","7003.6","24045071400","32401","null","null","null","null","-9999",""
"","ACGL","UW","Arch Capital Group Ltd","riy","","14","8525.275","14657637910.55","4500","null","null","null","null","-9999",""
"","AGIO","UW","Agios Pharmaceuticals Inc","riy","","16","203.196","3402809121.48","562","null","null","null","null","-9999",""
"","ADSK","UW","Autodesk Inc","riy","spx","19","3790.4","58796227468.16999","10100","11569657","114999","100.6","2020-05-06","2020",""
"","AGCO","UN","AGCO Corp","riy","","17","9149.7","10034366942.8","21426","null","null","null","null","-9999",""
"","AES","UN","AES Corp/VA","riy","spx","20","9660","17624127969.12","null","null","null","null","null","-9999",""
"","ALL","UN","Allstate Corp/The","riy","spx","14","44791","33806731810.12","41860","null","null","null","null","-9999",""
"","ADP","UW","Automatic Data Processing Inc","riy","spx","19","14589.8","76284623617.2","58000","17645648","60655","291","2020-09-24","2020",""
"","ALLE","UN","Allegion PLC","riy","spx","17","2719.9","10280876573.07","11500","null","null","null","null","-9999",""
"","AAPL","UW","Apple Inc","riy","spx","19","274515","2038410616320.0002","147000","14769259","57783","256","2021-01-05","2020",""
"","ADT","UN","ADT Inc","riy","","17","5314.787","5517137287.88","20500","null","null","null","null","-9999",""
"","ALSN","UN","Allison Transmission Holdings Inc","riy","","17","2081","4546084622.55","3300","null","null","null","null","2020",""
"","AGNC","UW","AGNC Investment Corp","riy","","14","501","8552606867.700001","50","null","null","null","null","-9999",""
